id,label
0,4
1,2
2,0
3,6
4,3
5,3
6,6
7,4
8,0
9,3
10,0
11,0
12,2
13,2
14,6
15,2
16,5
17,5
18,5
19,6
20,0
21,6
22,0
23,4
24,2
25,4
26,4
27,2
28,5
29,5
30,3
31,6
32,3
33,6
34,4
35,6
36,2
37,5
38,4
39,3
40,0
41,4
42,3
43,3
44,6
45,4
46,5
47,3
48,2
49,6
50,6
51,4
52,5
53,4
54,4
55,3
56,0
57,2
58,5
59,0
60,6
61,6
62,4
63,5
64,2
65,3
66,2
67,6
68,3
69,2
70,6
71,5
72,4
73,6
74,2
75,6
76,5
77,6
78,6
79,0
80,0
81,4
82,3
83,3
84,5
85,0
86,6
87,3
88,5
89,3
90,2
91,0
92,3
93,4
94,6
95,6
96,2
97,3
98,3
99,0
100,3
101,2
102,2
103,3
104,1
105,3
106,6
107,3
108,5
109,1
110,3
111,4
112,0
113,2
114,3
115,6
116,0
117,3
118,2
119,6
120,5
121,4
122,0
123,2
124,0
125,3
126,3
127,4
128,0
129,5
130,2
131,6
132,2
133,6
134,0
135,5
136,2
137,3
138,0
139,0
140,6
141,6
142,2
143,3
144,2
145,2
146,3
147,3
148,6
149,2
150,4
151,6
152,5
153,3
154,5
155,2
156,0
157,3
158,0
159,3
160,0
161,3
162,3
163,3
164,4
165,6
166,6
167,0
168,0
169,3
170,0
171,3
172,5
173,6
174,4
175,2
176,4
177,4
178,4
179,5
180,2
181,3
182,2
183,3
184,3
185,4
186,3
187,3
188,4
189,3
190,4
191,0
192,5
193,5
194,3
195,0
196,5
197,6
198,4
199,4
200,6
201,3
202,2
203,3
204,4
205,2
206,3
207,4
208,6
209,3
210,6
211,0
212,0
213,6
214,3
215,5
216,0
217,3
218,6
219,3
220,3
221,2
222,5
223,4
224,3
225,6
226,5
227,4
228,0
229,3
230,3
231,0
232,5
233,3
234,5
235,3
236,0
237,6
238,0
239,2
240,3
241,6
242,6
243,0
244,4
245,0
246,3
247,0
248,0
249,6
250,6
251,0
252,4
253,1
254,3
255,6
256,4
257,4
258,2
259,6
260,4
261,0
262,2
263,0
264,2
265,6
266,2
267,3
268,3
269,6
270,6
271,6
272,5
273,3
274,2
275,3
276,0
277,5
278,6
279,0
280,3
281,4
282,6
283,2
284,6
285,6
286,0
287,6
288,4
289,0
290,0
291,6
292,6
293,6
294,0
295,3
296,4
297,0
298,0
299,2
300,6
301,6
302,3
303,3
304,0
305,3
306,5
307,3
308,1
309,3
310,3
311,0
312,6
313,0
314,1
315,3
316,6
317,2
318,4
319,3
320,4
321,5
322,6
323,6
324,6
325,0
326,5
327,6
328,3
329,2
330,3
331,0
332,0
333,3
334,2
335,3
336,1
337,6
338,0
339,3
340,6
341,5
342,6
343,0
344,0
345,2
346,3
347,3
348,0
349,6
350,3
351,0
352,6
353,6
354,3
355,6
356,3
357,4
358,3
359,6
360,3
361,2
362,4
363,6
364,5
365,3
366,3
367,2
368,2
369,2
370,0
371,6
372,4
373,4
374,4
375,6
376,6
377,6
378,4
379,4
380,0
381,2
382,3
383,3
384,2
385,5
386,3
387,2
388,0
389,4
390,2
391,2
392,3
393,2
394,3
395,5
396,2
397,5
398,6
399,0
400,4
401,5
402,3
403,3
404,2
405,4
406,2
407,5
408,2
409,5
410,0
411,5
412,4
413,3
414,4
415,3
416,2
417,6
418,5
419,1
420,4
421,3
422,6
423,0
424,2
425,0
426,2
427,6
428,3
429,6
430,2
431,6
432,2
433,6
434,3
435,2
436,6
437,2
438,4
439,0
440,4
441,0
442,6
443,4
444,4
445,6
446,2
447,3
448,2
449,1
450,6
451,3
452,6
453,6
454,0
455,5
456,2
457,4
458,0
459,6
460,5
461,5
462,2
463,4
464,6
465,6
466,2
467,0
468,3
469,2
470,0
471,5
472,3
473,2
474,3
475,1
476,3
477,2
478,2
479,4
480,6
481,0
482,6
483,4
484,4
485,2
486,6
487,5
488,6
489,6
490,3
491,0
492,3
493,3
494,0
495,4
496,6
497,2
498,6
499,6
500,6
501,0
502,3
503,5
504,4
505,4
506,4
507,6
508,0
509,0
510,2
511,3
512,0
513,0
514,0
515,4
516,5
517,4
518,0
519,2
520,0
521,6
522,6
523,6
524,0
525,6
526,3
527,0
528,2
529,4
530,6
531,4
532,5
533,2
534,0
535,6
536,6
537,6
538,5
539,4
540,0
541,6
542,6
543,6
544,2
545,0
546,3
547,0
548,3
549,3
550,6
551,4
552,0
553,6
554,3
555,6
556,6
557,0
558,0
559,0
560,1
561,4
562,5
563,5
564,2
565,5
566,6
567,5
568,4
569,6
570,6
571,3
572,2
573,6
574,2
575,2
576,6
577,3
578,6
579,2
580,6
581,0
582,0
583,3
584,5
585,0
586,4
587,2
588,0
589,4
590,6
591,3
592,2
593,6
594,6
595,4
596,4
597,6
598,6
599,6
600,0
601,5
602,3
603,0
604,3
605,6
606,0
607,4
608,2
609,0
610,2
611,5
612,3
613,0
614,2
615,4
616,0
617,0
618,4
619,2
620,4
621,6
622,2
623,3
624,3
625,3
626,4
627,6
628,4
629,3
630,6
631,6
632,3
633,4
634,6
635,2
636,5
637,0
638,0
639,4
640,5
641,6
642,6
643,2
644,3
645,6
646,2
647,5
648,5
649,3
650,2
651,0
652,6
653,6
654,3
655,2
656,3
657,4
658,6
659,5
660,4
661,0
662,3
663,3
664,6
665,5
666,0
667,0
668,6
669,0
670,6
671,0
672,2
673,5
674,6
675,0
676,0
677,4
678,0
679,6
680,0
681,2
682,5
683,6
684,3
685,6
686,3
687,3
688,0
689,3
690,3
691,1
692,4
693,2
694,4
695,6
696,5
